First 50 Indexed Names:
  FRS [0]: IsDir=0, PrimaryName='$MFT'
  FRS [1]: IsDir=0, PrimaryName='$MFTMirr'
  FRS [2]: IsDir=0, PrimaryName='$LogFile'
  FRS [3]: IsDir=0, PrimaryName='$Volume'
  FRS [4]: IsDir=0, PrimaryName='$AttrDef'
  FRS [6]: IsDir=0, PrimaryName='$Bitmap'
  FRS [7]: IsDir=0, PrimaryName='$Boot'
  FRS [8]: IsDir=0, PrimaryName='$BadClus'
  FRS [9]: IsDir=0, PrimaryName='$Secure'
  FRS [10]: IsDir=0, PrimaryName='$UpCase'
  FRS [11]: IsDir=1, PrimaryName='$Extend'
  FRS [24]: IsDir=0, PrimaryName='$Quota'
  FRS [25]: IsDir=0, PrimaryName='$ObjId'
  FRS [26]: IsDir=0, PrimaryName='$Reparse'
  FRS [27]: IsDir=1, PrimaryName='$RmMetadata'
  FRS [28]: IsDir=0, PrimaryName='$Repair'
  FRS [29]: IsDir=1, PrimaryName='$TxfLog'
  FRS [30]: IsDir=1, PrimaryName='$Txf'
  FRS [31]: IsDir=0, PrimaryName='$Tops'
  FRS [32]: IsDir=0, PrimaryName='$TxfLog.blf'
  FRS [33]: IsDir=0, PrimaryName='$TxfLogContainer00000000000000000001'
  FRS [34]: IsDir=0, PrimaryName='$TxfLogContainer00000000000000000002'
  FRS [35]: IsDir=0, PrimaryName='Install Western Digital Software for Mac.dmg'
  FRS [36]: IsDir=0, PrimaryName='Install Western Digital Software for Windows.exe'
  FRS [37]: IsDir=1, PrimaryName='$Deleted'
  FRS [38]: IsDir=1, PrimaryName='System Volume Information'
  FRS [39]: IsDir=0, PrimaryName='WPSettings.dat'
  FRS [40]: IsDir=0, PrimaryName='IndexerVolumeGuid'
  FRS [41]: IsDir=0, PrimaryName='$UsnJrnl'
  FRS [42]: IsDir=1, PrimaryName='Data'
  FRS [43]: IsDir=1, PrimaryName='$RECYCLE.BIN'
  FRS [44]: IsDir=1, PrimaryName='S-1-12-1-2125814159-1144556686-1607185597-4022403530'
  FRS [45]: IsDir=0, PrimaryName='desktop.ini'
  FRS [46]: IsDir=0, PrimaryName='Possible - Diabetes Reversal Course.zip'
  FRS [47]: IsDir=1, PrimaryName='fdm'
  FRS [48]: IsDir=0, PrimaryName='Flat Design Cheat Sheet.jpg'
  FRS [49]: IsDir=0, PrimaryName='indexpaper logo.png'
  FRS [50]: IsDir=0, PrimaryName='What is GPL - GPL Fully Explained.mp4'
  FRS [51]: IsDir=0, PrimaryName='What's inside a Facebook Datacenter Open Compute Rack_.mp4'
  FRS [52]: IsDir=0, PrimaryName='Why good leaders make you feel safe _ Simon Sinek.webm'
  FRS [53]: IsDir=0, PrimaryName='Wordpress Extra Divi Theme For a Beginner.mp4'
  FRS [54]: IsDir=1, PrimaryName='(Vocal Jazz) Dee Daniels - Let's Talk Business - 1994, MP3, 320 kbps'
  FRS [55]: IsDir=1, PrimaryName='1994.Dee Daniels - Let's Talk Business [320]'
  FRS [56]: IsDir=1, PrimaryName='Andrew Troelsen, Philip Japikse - C# 6.0 and the .NET 4.6 Framework (7th Edition) - 2015'
  FRS [57]: IsDir=1, PrimaryName='9781484213339'
  FRS [58]: IsDir=1, PrimaryName='Basic C'
  FRS [59]: IsDir=1, PrimaryName='IsaacAsimov-TheFoundationTrilogy'
  FRS [60]: IsDir=1, PrimaryName='Pluralsight - CentOS Enterprise Linux 7 Virtualization Management by Andrew Mallett'
  FRS [61]: IsDir=1, PrimaryName='1.Course Overview'
  FRS [62]: IsDir=1, PrimaryName='2.Introduction to Linux Virtualization Management and the Associated Certification'
