Raw Parsed: FRS=0, Len=4, Flags=3, Name='$MFT'
Raw Parsed: FRS=1, Len=8, Flags=3, Name='$MFTMirr'
Raw Parsed: FRS=2, Len=8, Flags=3, Name='$LogFile'
Raw Parsed: FRS=3, Len=7, Flags=3, Name='$Volume'
Raw Parsed: FRS=4, Len=8, Flags=3, Name='$AttrDef'
Raw Parsed: FRS=5, Len=1, Flags=3, Name='.'
Raw Parsed: FRS=6, Len=7, Flags=3, Name='$Bitmap'
Raw Parsed: FRS=7, Len=5, Flags=3, Name='$Boot'
Raw Parsed: FRS=8, Len=8, Flags=3, Name='$BadClus'
Raw Parsed: FRS=9, Len=7, Flags=3, Name='$Secure'
Raw Parsed: FRS=10, Len=7, Flags=3, Name='$UpCase'
Raw Parsed: FRS=11, Len=7, Flags=3, Name='$Extend'
Raw Parsed: FRS=24, Len=6, Flags=0, Name='$Quota'
Raw Parsed: FRS=25, Len=6, Flags=0, Name='$ObjId'
Raw Parsed: FRS=26, Len=8, Flags=0, Name='$Reparse'
Raw Parsed: FRS=27, Len=11, Flags=0, Name='$RmMetadata'
Raw Parsed: FRS=28, Len=7, Flags=0, Name='$Repair'
Raw Parsed: FRS=29, Len=8, Flags=0, Name='$Deleted'
Raw Parsed: FRS=30, Len=7, Flags=0, Name='$TxfLog'
Raw Parsed: FRS=31, Len=4, Flags=0, Name='$Txf'
Raw Parsed: FRS=32, Len=5, Flags=0, Name='$Tops'
Raw Parsed: FRS=33, Len=11, Flags=0, Name='$TxfLog.blf'
Raw Parsed: FRS=34, Len=7, Flags=3, Name='LOG.old'
Raw Parsed: FRS=35, Len=12, Flags=2, Name='0054EF~1.LOG'
Raw Parsed: FRS=35, Len=25, Flags=1, Name='0000000027-0000000001.log'
Raw Parsed: FRS=36, Len=12, Flags=3, Name='Geofence.dat'
Raw Parsed: FRS=37, Len=8, Flags=2, Name='FEEDBA~2'
Raw Parsed: FRS=37, Len=11, Flags=1, Name='FeedbackHub'
Raw Parsed: FRS=38, Len=8, Flags=2, Name='ADOPTI~1'
Raw Parsed: FRS=38, Len=18, Flags=1, Name='AdoptionHeartbeat$'
Raw Parsed: FRS=39, Len=8, Flags=2, Name='UPDATE~4'
Raw Parsed: FRS=39, Len=42, Flags=1, Name='UpdatePolicyScenarioReliabilityAggregator$'
Raw Parsed: FRS=40, Len=8, Flags=2, Name='FAILOV~1'
Raw Parsed: FRS=40, Len=25, Flags=1, Name='FailoverSignalAggregator$'
Raw Parsed: FRS=41, Len=7, Flags=3, Name='LOG.old'
Raw Parsed: FRS=42, Len=8, Flags=3, Name='f_001ad9'
Raw Parsed: FRS=43, Len=12, Flags=2, Name='UPDATE~1.ETL'
Raw Parsed: FRS=43, Len=69, Flags=1, Name='UpdateSessionOrchestration.854f19f6-a632-48ab-9242-cf79897c50af.1.etl'
Raw Parsed: FRS=44, Len=7, Flags=3, Name='Strings'
Raw Parsed: FRS=46, Len=3, Flags=3, Name='LOG'
Raw Parsed: FRS=47, Len=12, Flags=2, Name='AMED2F~1.811'
Raw Parsed: FRS=48, Len=8, Flags=2, Name='NAVITE~1'
Raw Parsed: FRS=48, Len=12, Flags=1, Name='NavItemIcons'
Raw Parsed: FRS=49, Len=12, Flags=2, Name='004954~1.JSO'
Raw Parsed: FRS=49, Len=26, Flags=1, Name='0000000029-0000000003.json'
Raw Parsed: FRS=50, Len=12, Flags=2, Name='00EC8E~1.LOG'
Raw Parsed: FRS=50, Len=25, Flags=1, Name='0000000029-0000000001.log'
Raw Parsed: FRS=51, Len=12, Flags=2, Name='000A77~1.LOG'
Raw Parsed: FRS=51, Len=25, Flags=1, Name='0000000034-0000000000.log'
Raw Parsed: FRS=52, Len=8, Flags=3, Name='f_000010'
Raw Parsed: FRS=53, Len=8, Flags=2, Name='BFB558~1'
Raw Parsed: FRS=54, Len=8, Flags=2, Name='08AEE6~1'
Raw Parsed: FRS=54, Len=18, Flags=1, Name='08aee673ee486876_0'
Raw Parsed: FRS=55, Len=12, Flags=2, Name='SYNAFP~1.001'
Raw Parsed: FRS=55, Len=20, Flags=1, Name='synaFpDriver.etl.001'
Raw Parsed: FRS=56, Len=8, Flags=2, Name='RE8806~1'
Raw Parsed: FRS=56, Len=25, Flags=1, Name='RegisterDeviceWnsFallback'
Raw Parsed: FRS=57, Len=3, Flags=3, Name='LOG'
Raw Parsed: FRS=58, Len=12, Flags=2, Name='BRIGHT~1.IGP'
Raw Parsed: FRS=58, Len=23, Flags=1, Name='Brighten Video.man.igpi'
Raw Parsed: FRS=59, Len=12, Flags=2, Name='SYNAFP~1.002'
Raw Parsed: FRS=59, Len=20, Flags=1, Name='synaFpDriver.etl.002'
Raw Parsed: FRS=60, Len=8, Flags=2, Name='F32993~1'
Raw Parsed: FRS=60, Len=18, Flags=1, Name='f32993eab682a110_0'
Raw Parsed: FRS=61, Len=12, Flags=3, Name='hiberfil.sys'
Raw Parsed: FRS=62, Len=8, Flags=3, Name='PFRO.log'
Raw Parsed: FRS=63, Len=8, Flags=2, Name='92233D~1'
Raw Parsed: FRS=63, Len=18, Flags=1, Name='92233dbc6589c8ec_0'
Raw Parsed: FRS=64, Len=3, Flags=3, Name='LOG'
Raw Parsed: FRS=65, Len=9, Flags=3, Name='Shared.UX'
Raw Parsed: FRS=66, Len=12, Flags=2, Name='SHS-05~1.ETL'
Raw Parsed: FRS=66, Len=69, Flags=1, Name='SHS-05222026-220842-7-1ff-26100.1.amd64fre.ge_release.240331-1435.etl'
Raw Parsed: FRS=67, Len=12, Flags=0, Name='$Recycle.Bin'
Raw Parsed: FRS=68, Len=8, Flags=3, Name='WmiApRpl'
Raw Parsed: FRS=69, Len=12, Flags=2, Name='NUFB8C~1.ODL'
Raw Parsed: FRS=69, Len=35, Flags=1, Name='Nucleus-2026-03-23.1137.11872.1.odl'
Raw Parsed: FRS=70, Len=10, Flags=3, Name='WmiApRpl.h'
Raw Parsed: FRS=71, Len=12, Flags=3, Name='WmiApRpl.ini'
Raw Parsed: FRS=71, Len=12, Flags=0, Name='WmiApRpl.ini'
Raw Parsed: FRS=72, Len=91, Flags=1, Name='amd64_microsoft-windows-ndis-implatform_31bf3856ad364e35_10.0.26100.1_none_52ded5eaac6b9bbb'
Raw Parsed: FRS=73, Len=7, Flags=3, Name='LOG.old'
Raw Parsed: FRS=74, Len=12, Flags=2, Name='SYFA6F~1.ODL'
Raw Parsed: FRS=74, Len=41, Flags=1, Name='SyncEngine-2026-05-07.0451.7860.7.odlsent'
Raw Parsed: FRS=75, Len=12, Flags=2, Name='201B6B~1.HEI'
Raw Parsed: FRS=75, Len=20, Flags=1, Name='20230907_172926.heic'
Raw Parsed: FRS=76, Len=8, Flags=2, Name='E49E08~1'
Raw Parsed: FRS=76, Len=64, Flags=1, Name='e49e08605c0aef671657dd880b748c1d0cc4887972b65a68e40e93b329056e51'
Raw Parsed: FRS=77, Len=4, Flags=3, Name='0009'
Raw Parsed: FRS=78, Len=8, Flags=3, Name='Triggers'
Raw Parsed: FRS=79, Len=8, Flags=2, Name='397544~1'
Raw Parsed: FRS=79, Len=10, Flags=1, Name='3975446168'
Raw Parsed: FRS=80, Len=12, Flags=2, Name='BOOKMA~1.BAK'
Raw Parsed: FRS=80, Len=13, Flags=1, Name='Bookmarks.bak'
Raw Parsed: FRS=81, Len=7, Flags=3, Name='LOG.old'
